year,city,country,avg_temp,city,country
1743,Chicago,United States,5.44,Chicago,United States
1744,Chicago,United States,11.73,Chicago,United States
1745,Chicago,United States,1.80,Chicago,United States
1746,Chicago,United States,,Chicago,United States
1747,Chicago,United States,,Chicago,United States
1748,Chicago,United States,,Chicago,United States
1749,Chicago,United States,,Chicago,United States
1750,Chicago,United States,10.49,Chicago,United States
1751,Chicago,United States,11.19,Chicago,United States
1752,Chicago,United States,4.50,Chicago,United States
1753,Chicago,United States,10.04,Chicago,United States
1754,Chicago,United States,10.64,Chicago,United States
1755,Chicago,United States,7.41,Chicago,United States
1756,Chicago,United States,11.15,Chicago,United States
1757,Chicago,United States,9.50,Chicago,United States
1758,Chicago,United States,8.61,Chicago,United States
1759,Chicago,United States,9.59,Chicago,United States
1760,Chicago,United States,8.05,Chicago,United States
1761,Chicago,United States,10.40,Chicago,United States
1762,Chicago,United States,9.82,Chicago,United States
1763,Chicago,United States,7.72,Chicago,United States
1764,Chicago,United States,10.63,Chicago,United States
1765,Chicago,United States,9.78,Chicago,United States
1766,Chicago,United States,10.49,Chicago,United States
1767,Chicago,United States,9.41,Chicago,United States
1768,Chicago,United States,8.95,Chicago,United States
1769,Chicago,United States,9.79,Chicago,United States
1770,Chicago,United States,9.66,Chicago,United States
1771,Chicago,United States,10.44,Chicago,United States
1772,Chicago,United States,10.27,Chicago,United States
1773,Chicago,United States,10.42,Chicago,United States
1774,Chicago,United States,10.27,Chicago,United States
1775,Chicago,United States,10.99,Chicago,United States
1776,Chicago,United States,9.98,Chicago,United States
1777,Chicago,United States,9.67,Chicago,United States
1778,Chicago,United States,7.63,Chicago,United States
1779,Chicago,United States,10.32,Chicago,United States
1780,Chicago,United States,12.54,Chicago,United States
1781,Chicago,United States,10.18,Chicago,United States
1782,Chicago,United States,9.69,Chicago,United States
1783,Chicago,United States,9.44,Chicago,United States
1784,Chicago,United States,9.40,Chicago,United States
1785,Chicago,United States,9.20,Chicago,United States
1786,Chicago,United States,9.75,Chicago,United States
1787,Chicago,United States,9.78,Chicago,United States
1788,Chicago,United States,10.28,Chicago,United States
1789,Chicago,United States,10.03,Chicago,United States
1790,Chicago,United States,9.93,Chicago,United States
1791,Chicago,United States,10.12,Chicago,United States
1792,Chicago,United States,9.62,Chicago,United States
1793,Chicago,United States,10.20,Chicago,United States
1794,Chicago,United States,10.30,Chicago,United States
1795,Chicago,United States,10.01,Chicago,United States
1796,Chicago,United States,9.92,Chicago,United States
1797,Chicago,United States,9.66,Chicago,United States
1798,Chicago,United States,10.43,Chicago,United States
1799,Chicago,United States,10.11,Chicago,United States
1800,Chicago,United States,10.11,Chicago,United States
1801,Chicago,United States,10.47,Chicago,United States
1802,Chicago,United States,10.66,Chicago,United States
1803,Chicago,United States,10.48,Chicago,United States
1804,Chicago,United States,10.41,Chicago,United States
1805,Chicago,United States,10.63,Chicago,United States
1806,Chicago,United States,10.10,Chicago,United States
1807,Chicago,United States,9.88,Chicago,United States
1808,Chicago,United States,9.84,Chicago,United States
1809,Chicago,United States,9.04,Chicago,United States
1810,Chicago,United States,9.22,Chicago,United States
1811,Chicago,United States,9.37,Chicago,United States
1812,Chicago,United States,8.34,Chicago,United States
1813,Chicago,United States,9.67,Chicago,United States
1814,Chicago,United States,9.55,Chicago,United States
1815,Chicago,United States,8.86,Chicago,United States
1816,Chicago,United States,8.27,Chicago,United States
1817,Chicago,United States,8.54,Chicago,United States
1818,Chicago,United States,9.42,Chicago,United States
1819,Chicago,United States,9.19,Chicago,United States
1820,Chicago,United States,9.02,Chicago,United States
1821,Chicago,United States,9.08,Chicago,United States
1822,Chicago,United States,9.87,Chicago,United States
1823,Chicago,United States,9.31,Chicago,United States
1824,Chicago,United States,9.57,Chicago,United States
1825,Chicago,United States,10.87,Chicago,United States
1826,Chicago,United States,10.19,Chicago,United States
1827,Chicago,United States,10.58,Chicago,United States
1828,Chicago,United States,11.00,Chicago,United States
1829,Chicago,United States,9.94,Chicago,United States
1830,Chicago,United States,11.11,Chicago,United States
1831,Chicago,United States,9.02,Chicago,United States
1832,Chicago,United States,10.33,Chicago,United States
1833,Chicago,United States,10.70,Chicago,United States
1834,Chicago,United States,10.92,Chicago,United States
1835,Chicago,United States,9.44,Chicago,United States
1836,Chicago,United States,8.68,Chicago,United States
1837,Chicago,United States,9.42,Chicago,United States
1838,Chicago,United States,8.81,Chicago,United States
1839,Chicago,United States,10.57,Chicago,United States
1840,Chicago,United States,10.24,Chicago,United States
1841,Chicago,United States,9.83,Chicago,United States
1842,Chicago,United States,10.32,Chicago,United States
1843,Chicago,United States,8.78,Chicago,United States
1844,Chicago,United States,10.28,Chicago,United States
1845,Chicago,United States,10.60,Chicago,United States
1846,Chicago,United States,11.29,Chicago,United States
1847,Chicago,United States,9.23,Chicago,United States
1848,Chicago,United States,9.77,Chicago,United States
1849,Chicago,United States,9.34,Chicago,United States
1850,Chicago,United States,9.89,Chicago,United States
1851,Chicago,United States,10.17,Chicago,United States
1852,Chicago,United States,9.82,Chicago,United States
1853,Chicago,United States,10.21,Chicago,United States
1854,Chicago,United States,10.96,Chicago,United States
1855,Chicago,United States,9.71,Chicago,United States
1856,Chicago,United States,8.66,Chicago,United States
1857,Chicago,United States,8.76,Chicago,United States
1858,Chicago,United States,10.53,Chicago,United States
1859,Chicago,United States,9.76,Chicago,United States
1860,Chicago,United States,9.75,Chicago,United States
1861,Chicago,United States,9.62,Chicago,United States
1862,Chicago,United States,9.36,Chicago,United States
1863,Chicago,United States,9.73,Chicago,United States
1864,Chicago,United States,9.35,Chicago,United States
1865,Chicago,United States,9.92,Chicago,United States
1866,Chicago,United States,9.05,Chicago,United States
1867,Chicago,United States,9.43,Chicago,United States
1868,Chicago,United States,8.88,Chicago,United States
1869,Chicago,United States,8.73,Chicago,United States
1870,Chicago,United States,10.55,Chicago,United States
1871,Chicago,United States,9.91,Chicago,United States
1872,Chicago,United States,8.72,Chicago,United States
1873,Chicago,United States,8.84,Chicago,United States
1874,Chicago,United States,10.18,Chicago,United States
1875,Chicago,United States,7.80,Chicago,United States
1876,Chicago,United States,9.69,Chicago,United States
1877,Chicago,United States,10.68,Chicago,United States
1878,Chicago,United States,11.31,Chicago,United States
1879,Chicago,United States,10.11,Chicago,United States
1880,Chicago,United States,10.46,Chicago,United States
1881,Chicago,United States,10.25,Chicago,United States
1882,Chicago,United States,10.38,Chicago,United States
1883,Chicago,United States,8.42,Chicago,United States
1884,Chicago,United States,9.35,Chicago,United States
1885,Chicago,United States,7.96,Chicago,United States
1886,Chicago,United States,9.40,Chicago,United States
1887,Chicago,United States,9.64,Chicago,United States
1888,Chicago,United States,8.74,Chicago,United States
1889,Chicago,United States,10.02,Chicago,United States
1890,Chicago,United States,10.21,Chicago,United States
1891,Chicago,United States,10.29,Chicago,United States
1892,Chicago,United States,9.21,Chicago,United States
1893,Chicago,United States,8.91,Chicago,United States
1894,Chicago,United States,10.79,Chicago,United States
1895,Chicago,United States,9.32,Chicago,United States
1896,Chicago,United States,10.39,Chicago,United States
1897,Chicago,United States,10.05,Chicago,United States
1898,Chicago,United States,10.24,Chicago,United States
1899,Chicago,United States,10.12,Chicago,United States
1900,Chicago,United States,10.63,Chicago,United States
1901,Chicago,United States,9.87,Chicago,United States
1902,Chicago,United States,10.04,Chicago,United States
1903,Chicago,United States,9.57,Chicago,United States
1904,Chicago,United States,8.56,Chicago,United States
1905,Chicago,United States,9.42,Chicago,United States
1906,Chicago,United States,10.56,Chicago,United States
1907,Chicago,United States,9.32,Chicago,United States
1908,Chicago,United States,10.68,Chicago,United States
1909,Chicago,United States,9.89,Chicago,United States
1910,Chicago,United States,10.20,Chicago,United States
1911,Chicago,United States,10.87,Chicago,United States
1912,Chicago,United States,8.95,Chicago,United States
1913,Chicago,United States,10.83,Chicago,United States
1914,Chicago,United States,10.20,Chicago,United States
1915,Chicago,United States,9.98,Chicago,United States
1916,Chicago,United States,9.84,Chicago,United States
1917,Chicago,United States,8.06,Chicago,United States
1918,Chicago,United States,10.06,Chicago,United States
1919,Chicago,United States,10.64,Chicago,United States
1920,Chicago,United States,9.83,Chicago,United States
1921,Chicago,United States,12.28,Chicago,United States
1922,Chicago,United States,10.92,Chicago,United States
1923,Chicago,United States,10.12,Chicago,United States
1924,Chicago,United States,8.77,Chicago,United States
1925,Chicago,United States,9.93,Chicago,United States
1926,Chicago,United States,9.12,Chicago,United States
1927,Chicago,United States,10.54,Chicago,United States
1928,Chicago,United States,10.21,Chicago,United States
1929,Chicago,United States,9.28,Chicago,United States
1930,Chicago,United States,10.79,Chicago,United States
1931,Chicago,United States,12.39,Chicago,United States
1932,Chicago,United States,10.61,Chicago,United States
1933,Chicago,United States,11.09,Chicago,United States
1934,Chicago,United States,10.87,Chicago,United States
1935,Chicago,United States,10.01,Chicago,United States
1936,Chicago,United States,9.86,Chicago,United States
1937,Chicago,United States,9.99,Chicago,United States
1938,Chicago,United States,11.40,Chicago,United States
1939,Chicago,United States,11.35,Chicago,United States
1940,Chicago,United States,9.67,Chicago,United States
1941,Chicago,United States,11.41,Chicago,United States
1942,Chicago,United States,10.41,Chicago,United States
1943,Chicago,United States,9.72,Chicago,United States
1944,Chicago,United States,10.82,Chicago,United States
1945,Chicago,United States,9.96,Chicago,United States
1946,Chicago,United States,11.40,Chicago,United States
1947,Chicago,United States,10.22,Chicago,United States
1948,Chicago,United States,10.41,Chicago,United States
1949,Chicago,United States,11.18,Chicago,United States
1950,Chicago,United States,9.43,Chicago,United States
1951,Chicago,United States,9.42,Chicago,United States
1952,Chicago,United States,10.91,Chicago,United States
1953,Chicago,United States,11.67,Chicago,United States
1954,Chicago,United States,11.11,Chicago,United States
1955,Chicago,United States,11.01,Chicago,United States
1956,Chicago,United States,10.72,Chicago,United States
1957,Chicago,United States,10.42,Chicago,United States
1958,Chicago,United States,9.90,Chicago,United States
1959,Chicago,United States,10.43,Chicago,United States
1960,Chicago,United States,10.11,Chicago,United States
1961,Chicago,United States,10.58,Chicago,United States
1962,Chicago,United States,9.99,Chicago,United States
1963,Chicago,United States,9.89,Chicago,United States
1964,Chicago,United States,11.06,Chicago,United States
1965,Chicago,United States,10.34,Chicago,United States
1966,Chicago,United States,10.05,Chicago,United States
1967,Chicago,United States,9.84,Chicago,United States
1968,Chicago,United States,10.66,Chicago,United States
1969,Chicago,United States,10.03,Chicago,United States
1970,Chicago,United States,10.34,Chicago,United States
1971,Chicago,United States,10.58,Chicago,United States
1972,Chicago,United States,9.39,Chicago,United States
1973,Chicago,United States,11.55,Chicago,United States
1974,Chicago,United States,10.35,Chicago,United States
1975,Chicago,United States,10.82,Chicago,United States
1976,Chicago,United States,9.79,Chicago,United States
1977,Chicago,United States,10.46,Chicago,United States
1978,Chicago,United States,9.46,Chicago,United States
1979,Chicago,United States,9.37,Chicago,United States
1980,Chicago,United States,10.05,Chicago,United States
1981,Chicago,United States,10.54,Chicago,United States
1982,Chicago,United States,9.99,Chicago,United States
1983,Chicago,United States,10.94,Chicago,United States
1984,Chicago,United States,10.66,Chicago,United States
1985,Chicago,United States,10.11,Chicago,United States
1986,Chicago,United States,10.82,Chicago,United States
1987,Chicago,United States,12.04,Chicago,United States
1988,Chicago,United States,10.86,Chicago,United States
1989,Chicago,United States,9.80,Chicago,United States
1990,Chicago,United States,11.50,Chicago,United States
1991,Chicago,United States,11.58,Chicago,United States
1992,Chicago,United States,10.24,Chicago,United States
1993,Chicago,United States,10.18,Chicago,United States
1994,Chicago,United States,10.56,Chicago,United States
1995,Chicago,United States,10.57,Chicago,United States
1996,Chicago,United States,9.56,Chicago,United States
1997,Chicago,United States,10.14,Chicago,United States
1998,Chicago,United States,12.81,Chicago,United States
1999,Chicago,United States,11.72,Chicago,United States
2000,Chicago,United States,11.09,Chicago,United States
2001,Chicago,United States,11.70,Chicago,United States
2002,Chicago,United States,11.53,Chicago,United States
2003,Chicago,United States,10.48,Chicago,United States
2004,Chicago,United States,10.94,Chicago,United States
2005,Chicago,United States,11.58,Chicago,United States
2006,Chicago,United States,11.87,Chicago,United States
2007,Chicago,United States,11.45,Chicago,United States
2008,Chicago,United States,10.24,Chicago,United States
2009,Chicago,United States,10.30,Chicago,United States
2010,Chicago,United States,11.82,Chicago,United States
2011,Chicago,United States,11.21,Chicago,United States
2012,Chicago,United States,12.82,Chicago,United States
2013,Chicago,United States,11.59,Chicago,United States
