year,city,country,chicago_temp,global_temp
1750,Chicago,United States,10.49,8.72
1751,Chicago,United States,11.19,7.98
1752,Chicago,United States,4.50,5.78
1753,Chicago,United States,10.04,8.39
1754,Chicago,United States,10.64,8.47
1755,Chicago,United States,7.41,8.36
1756,Chicago,United States,11.15,8.85
1757,Chicago,United States,9.50,9.02
1758,Chicago,United States,8.61,6.74
1759,Chicago,United States,9.59,7.99
1760,Chicago,United States,8.05,7.19
1761,Chicago,United States,10.40,8.77
1762,Chicago,United States,9.82,8.61
1763,Chicago,United States,7.72,7.50
1764,Chicago,United States,10.63,8.40
1765,Chicago,United States,9.78,8.25
1766,Chicago,United States,10.49,8.41
1767,Chicago,United States,9.41,8.22
1768,Chicago,United States,8.95,6.78
1769,Chicago,United States,9.79,7.69
1770,Chicago,United States,9.66,7.69
1771,Chicago,United States,10.44,7.85
1772,Chicago,United States,10.27,8.19
1773,Chicago,United States,10.42,8.22
1774,Chicago,United States,10.27,8.77
1775,Chicago,United States,10.99,9.18
1776,Chicago,United States,9.98,8.30
1777,Chicago,United States,9.67,8.26
1778,Chicago,United States,7.63,8.54
1779,Chicago,United States,10.32,8.98
1780,Chicago,United States,12.54,9.43
1781,Chicago,United States,10.18,8.10
1782,Chicago,United States,9.69,7.90
1783,Chicago,United States,9.44,7.68
1784,Chicago,United States,9.40,7.86
1785,Chicago,United States,9.20,7.36
1786,Chicago,United States,9.75,8.26
1787,Chicago,United States,9.78,8.03
1788,Chicago,United States,10.28,8.45
1789,Chicago,United States,10.03,8.33
1790,Chicago,United States,9.93,7.98
1791,Chicago,United States,10.12,8.23
1792,Chicago,United States,9.62,8.09
1793,Chicago,United States,10.20,8.23
1794,Chicago,United States,10.30,8.53
1795,Chicago,United States,10.01,8.35
1796,Chicago,United States,9.92,8.27
1797,Chicago,United States,9.66,8.51
1798,Chicago,United States,10.43,8.67
1799,Chicago,United States,10.11,8.51
1800,Chicago,United States,10.11,8.48
1801,Chicago,United States,10.47,8.59
1802,Chicago,United States,10.66,8.58
1803,Chicago,United States,10.48,8.50
1804,Chicago,United States,10.41,8.84
1805,Chicago,United States,10.63,8.56
1806,Chicago,United States,10.10,8.43
1807,Chicago,United States,9.88,8.28
1808,Chicago,United States,9.84,7.63
1809,Chicago,United States,9.04,7.08
1810,Chicago,United States,9.22,6.92
1811,Chicago,United States,9.37,6.86
1812,Chicago,United States,8.34,7.05
1813,Chicago,United States,9.67,7.74
1814,Chicago,United States,9.55,7.59
1815,Chicago,United States,8.86,7.24
1816,Chicago,United States,8.27,6.94
1817,Chicago,United States,8.54,6.98
1818,Chicago,United States,9.42,7.83
1819,Chicago,United States,9.19,7.37
1820,Chicago,United States,9.02,7.62
1821,Chicago,United States,9.08,8.09
1822,Chicago,United States,9.87,8.19
1823,Chicago,United States,9.31,7.72
1824,Chicago,United States,9.57,8.55
1825,Chicago,United States,10.87,8.39
1826,Chicago,United States,10.19,8.36
1827,Chicago,United States,10.58,8.81
1828,Chicago,United States,11.00,8.17
1829,Chicago,United States,9.94,7.94
1830,Chicago,United States,11.11,8.52
1831,Chicago,United States,9.02,7.64
1832,Chicago,United States,10.33,7.45
1833,Chicago,United States,10.70,8.01
1834,Chicago,United States,10.92,8.15
1835,Chicago,United States,9.44,7.39
1836,Chicago,United States,8.68,7.70
1837,Chicago,United States,9.42,7.38
1838,Chicago,United States,8.81,7.51
1839,Chicago,United States,10.57,7.63
1840,Chicago,United States,10.24,7.80
1841,Chicago,United States,9.83,7.69
1842,Chicago,United States,10.32,8.02
1843,Chicago,United States,8.78,8.17
1844,Chicago,United States,10.28,7.65
1845,Chicago,United States,10.60,7.85
1846,Chicago,United States,11.29,8.55
1847,Chicago,United States,9.23,8.09
1848,Chicago,United States,9.77,7.98
1849,Chicago,United States,9.34,7.98
1850,Chicago,United States,9.89,7.90
1851,Chicago,United States,10.17,8.18
1852,Chicago,United States,9.82,8.10
1853,Chicago,United States,10.21,8.04
1854,Chicago,United States,10.96,8.21
1855,Chicago,United States,9.71,8.11
1856,Chicago,United States,8.66,8.00
1857,Chicago,United States,8.76,7.76
1858,Chicago,United States,10.53,8.10
1859,Chicago,United States,9.76,8.25
1860,Chicago,United States,9.75,7.96
1861,Chicago,United States,9.62,7.85
1862,Chicago,United States,9.36,7.56
1863,Chicago,United States,9.73,8.11
1864,Chicago,United States,9.35,7.98
1865,Chicago,United States,9.92,8.18
1866,Chicago,United States,9.05,8.29
1867,Chicago,United States,9.43,8.44
1868,Chicago,United States,8.88,8.25
1869,Chicago,United States,8.73,8.43
1870,Chicago,United States,10.55,8.20
1871,Chicago,United States,9.91,8.12
1872,Chicago,United States,8.72,8.19
1873,Chicago,United States,8.84,8.35
1874,Chicago,United States,10.18,8.43
1875,Chicago,United States,7.80,7.86
1876,Chicago,United States,9.69,8.08
1877,Chicago,United States,10.68,8.54
1878,Chicago,United States,11.31,8.83
1879,Chicago,United States,10.11,8.17
1880,Chicago,United States,10.46,8.12
1881,Chicago,United States,10.25,8.27
1882,Chicago,United States,10.38,8.13
1883,Chicago,United States,8.42,7.98
1884,Chicago,United States,9.35,7.77
1885,Chicago,United States,7.96,7.92
1886,Chicago,United States,9.40,7.95
1887,Chicago,United States,9.64,7.91
1888,Chicago,United States,8.74,8.09
1889,Chicago,United States,10.02,8.32
1890,Chicago,United States,10.21,7.97
1891,Chicago,United States,10.29,8.02
1892,Chicago,United States,9.21,8.07
1893,Chicago,United States,8.91,8.06
1894,Chicago,United States,10.79,8.16
1895,Chicago,United States,9.32,8.15
1896,Chicago,United States,10.39,8.21
1897,Chicago,United States,10.05,8.29
1898,Chicago,United States,10.24,8.18
1899,Chicago,United States,10.12,8.40
1900,Chicago,United States,10.63,8.50
1901,Chicago,United States,9.87,8.54
1902,Chicago,United States,10.04,8.30
1903,Chicago,United States,9.57,8.22
1904,Chicago,United States,8.56,8.09
1905,Chicago,United States,9.42,8.23
1906,Chicago,United States,10.56,8.38
1907,Chicago,United States,9.32,7.95
1908,Chicago,United States,10.68,8.19
1909,Chicago,United States,9.89,8.18
1910,Chicago,United States,10.20,8.22
1911,Chicago,United States,10.87,8.18
1912,Chicago,United States,8.95,8.17
1913,Chicago,United States,10.83,8.30
1914,Chicago,United States,10.20,8.59
1915,Chicago,United States,9.98,8.59
1916,Chicago,United States,9.84,8.23
1917,Chicago,United States,8.06,8.02
1918,Chicago,United States,10.06,8.13
1919,Chicago,United States,10.64,8.38
1920,Chicago,United States,9.83,8.36
1921,Chicago,United States,12.28,8.57
1922,Chicago,United States,10.92,8.41
1923,Chicago,United States,10.12,8.42
1924,Chicago,United States,8.77,8.51
1925,Chicago,United States,9.93,8.53
1926,Chicago,United States,9.12,8.73
1927,Chicago,United States,10.54,8.52
1928,Chicago,United States,10.21,8.63
1929,Chicago,United States,9.28,8.24
1930,Chicago,United States,10.79,8.63
1931,Chicago,United States,12.39,8.72
1932,Chicago,United States,10.61,8.71
1933,Chicago,United States,11.09,8.34
1934,Chicago,United States,10.87,8.63
1935,Chicago,United States,10.01,8.52
1936,Chicago,United States,9.86,8.55
1937,Chicago,United States,9.99,8.70
1938,Chicago,United States,11.40,8.86
1939,Chicago,United States,11.35,8.76
1940,Chicago,United States,9.67,8.76
1941,Chicago,United States,11.41,8.77
1942,Chicago,United States,10.41,8.73
1943,Chicago,United States,9.72,8.76
1944,Chicago,United States,10.82,8.85
1945,Chicago,United States,9.96,8.58
1946,Chicago,United States,11.40,8.68
1947,Chicago,United States,10.22,8.80
1948,Chicago,United States,10.41,8.75
1949,Chicago,United States,11.18,8.59
1950,Chicago,United States,9.43,8.37
1951,Chicago,United States,9.42,8.63
1952,Chicago,United States,10.91,8.64
1953,Chicago,United States,11.67,8.87
1954,Chicago,United States,11.11,8.56
1955,Chicago,United States,11.01,8.63
1956,Chicago,United States,10.72,8.28
1957,Chicago,United States,10.42,8.73
1958,Chicago,United States,9.90,8.77
1959,Chicago,United States,10.43,8.73
1960,Chicago,United States,10.11,8.58
1961,Chicago,United States,10.58,8.80
1962,Chicago,United States,9.99,8.75
1963,Chicago,United States,9.89,8.86
1964,Chicago,United States,11.06,8.41
1965,Chicago,United States,10.34,8.53
1966,Chicago,United States,10.05,8.60
1967,Chicago,United States,9.84,8.70
1968,Chicago,United States,10.66,8.52
1969,Chicago,United States,10.03,8.60
1970,Chicago,United States,10.34,8.70
1971,Chicago,United States,10.58,8.60
1972,Chicago,United States,9.39,8.50
1973,Chicago,United States,11.55,8.95
1974,Chicago,United States,10.35,8.47
1975,Chicago,United States,10.82,8.74
1976,Chicago,United States,9.79,8.35
1977,Chicago,United States,10.46,8.85
1978,Chicago,United States,9.46,8.69
1979,Chicago,United States,9.37,8.73
1980,Chicago,United States,10.05,8.98
1981,Chicago,United States,10.54,9.17
1982,Chicago,United States,9.99,8.64
1983,Chicago,United States,10.94,9.03
1984,Chicago,United States,10.66,8.69
1985,Chicago,United States,10.11,8.66
1986,Chicago,United States,10.82,8.83
1987,Chicago,United States,12.04,8.99
1988,Chicago,United States,10.86,9.20
1989,Chicago,United States,9.80,8.92
1990,Chicago,United States,11.50,9.23
1991,Chicago,United States,11.58,9.18
1992,Chicago,United States,10.24,8.84
1993,Chicago,United States,10.18,8.87
1994,Chicago,United States,10.56,9.04
1995,Chicago,United States,10.57,9.35
1996,Chicago,United States,9.56,9.04
1997,Chicago,United States,10.14,9.20
1998,Chicago,United States,12.81,9.52
1999,Chicago,United States,11.72,9.29
2000,Chicago,United States,11.09,9.20
2001,Chicago,United States,11.70,9.41
2002,Chicago,United States,11.53,9.57
2003,Chicago,United States,10.48,9.53
2004,Chicago,United States,10.94,9.32
2005,Chicago,United States,11.58,9.70
2006,Chicago,United States,11.87,9.53
2007,Chicago,United States,11.45,9.73
2008,Chicago,United States,10.24,9.43
2009,Chicago,United States,10.30,9.51
2010,Chicago,United States,11.82,9.70
2011,Chicago,United States,11.21,9.52
2012,Chicago,United States,12.82,9.51
2013,Chicago,United States,11.59,9.61
